FID,Province,LGU,Barangay,Lat,Long,Z
100,,Kabankalan,Linao,1103524.904147,477257.694443,
101,Negros Occidental,La Carlota City,Ara-al,1151627.546619,508843.768810,766.4886979
102,Negros Occidental,La Castellana,Biaknabato,1145373.674841,516036.134546,465.0342899
103,,La Castellana,Robles,1141998.397386,502211.552829,
104,Negros Occidental,La Castellana,Sag-ang,1146805.180155,506206.821608,192.9081317
105,Negros Occidental,La Castellana,Mansalanao,1145927.241326,510607.696021,666.6974544
106,Negros Occidental,La Castellana,Nato,1139862.255731,497996.342283,35.10136796
107,Negros Occidental,La Castellana,Lalagsan,1137357.938276,501861.454233,33.8401152
108,Negros Occidental,La Castellana,Talaptap,1137532.588954,499321.120076,39.54991249
109,Negros Occidental,La Castellana,Cabagnaan,1146880.207695,513475.459878,537.5421859
110,Negros Occidental,La Castellana,Camandag,1142697.809757,507028.657407,112.8833333
111,Negros Occidental,La Castellana,Manghanoy,1141554.525998,511156.446087,183.9912274
112,Negros Occidental,Pontevedra,Pandan,1141578.386289,496179.003780,75.86054214
113,Negros Occidental,Pontevedra,Antipolo,1144516.228852,495292.577908,54.09019744
114,Negros Occidental,San Carlos City,Codcod,1158506.401760,522225.438276,866.470848
115,,Sipalay,Poblacion 1,1077871.524468,434378.449125,
116,,Sipalay,Poblacion 2,1077344.122874,434311.705202,
117,,Sipalay,Poblacion 3,1077453.421124,434970.010554,
118,,Sipalay,Poblacion 5,1078283.734137,434434.019726,
119,,Sipalay,Cartagena,1085706.213849,435730.216292,
120,,Sipalay,San Jose,1084594.626809,441397.877763,
121,,Sipalay,Canturay,1083112.612802,436822.378551,
